url, status_code
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=74, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=75, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=76, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=77, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=78, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=79, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=80, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=81, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=82, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=83, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=84, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=85, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=86, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=87, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=88, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=89, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=90, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=91, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=92, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=93, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=94, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=95, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=96, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=97, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=98, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=99, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=100, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=101, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=102, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=103, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=104, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=105, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=106, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=107, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=108, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=109, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=110, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=111, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=112, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=113, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=114, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=115, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=116, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=117, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=118, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=119, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=120, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=121, 200
